
Australia,-24.7761086,134.755,25500,Unknown,2023-04-14 00:34:21.488206,https://www.nrk.no/norge/
Mali,16.3700359,-2.2900239,20251,Unknown,2023-04-14 00:34:21.488210,https://www.nrk.no/norge/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488215,https://www.nrk.no/norge/
Island,64.9841821,-18.1059013,341,Unknown,2023-04-14 00:34:21.488220,https://www.nrk.no/norge/
USA,39.7837304,-100.445882,331003,Unknown,2023-04-14 00:34:21.488225,https://www.nrk.no/urix/
Russland,64.6863136,97.7453061,145934,Unknown,2023-04-14 00:34:21.488230,https://www.nrk.no/urix/
Japan,36.5748441,139.2394179,126476,Unknown,2023-04-14 00:34:21.488234,https://www.nrk.no/urix/
Iran,32.6475314,54.5643516,83993,Unknown,2023-04-14 00:34:21.488239,https://www.nrk.no/urix/
Ukraina,49.4871968,31.2718321,43734,Unknown,2023-04-14 00:34:21.488243,https://www.nrk.no/urix/
Romania,45.9852129,24.6859225,19238,Unknown,2023-04-14 00:34:21.488248,https://www.nrk.no/urix/
Sverige,59.6749712,14.5208584,10099,Unknown,2023-04-14 00:34:21.488253,https://www.nrk.no/urix/
Israel,30.8124247,34.8594762,8656,Unknown,2023-04-14 00:34:21.488259,https://www.nrk.no/urix/
Finland,63.2467777,25.9209164,5541,Unknown,2023-04-14 00:34:21.488264,https://www.nrk.no/urix/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488281,https://www.nrk.no/urix/
Iran,32.6475314,54.5643516,83993,Unknown,2023-04-14 00:34:21.488286,https://www.nrk.no/debatten/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488291,https://www.nrk.no/debatten/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488297,https://www.nrk.no/livsstil/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488303,https://www.nrk.no/viten/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488308,https://www.nrk.no/dokumentar/
Svalbard,78.7198519,20.3493328,,Unknown,2023-04-14 00:34:21.488314,https://www.nrk.no/dokumentar/
Sveits,46.7985624,8.2319736,8655,Unknown,2023-04-14 00:34:21.488320,https://www.nrk.no/ytring/
Finland,63.2467777,25.9209164,5541,Unknown,2023-04-14 00:34:21.488324,https://www.nrk.no/ytring/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488329,https://www.nrk.no/ytring/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488335,https://www.nrk.no/sapmi/
Sverige,59.6749712,14.5208584,10099,Unknown,2023-04-14 00:34:21.488340,https://www.nrk.no/kvensk/
Finland,63.2467777,25.9209164,5541,Unknown,2023-04-14 00:34:21.488345,https://www.nrk.no/kvensk/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488350,https://www.nrk.no/kvensk/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488357,https://www.nrk.no/sport/sendeplan/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488363,https://www.nrk.no/sorlandet/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488369,https://www.nrk.no/innlandet/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488376,https://www.nrk.no/mr/
Island,64.9841821,-18.1059013,341,Unknown,2023-04-14 00:34:21.488380,https://www.nrk.no/mr/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488385,https://www.nrk.no/nordland/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488391,https://www.nrk.no/osloogviken/
Grønland,77.6192349,-42.8125967,57,Unknown,2023-04-14 00:34:21.488396,https://www.nrk.no/osloogviken/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488448,https://www.nrk.no/rogaland/
Russland,64.6863136,97.7453061,145934,Unknown,2023-04-14 00:34:21.488454,https://www.nrk.no/tromsogfinnmark/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488459,https://www.nrk.no/tromsogfinnmark/
Mali,16.3700359,-2.2900239,20251,Unknown,2023-04-14 00:34:21.488465,https://www.nrk.no/trondelag/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488470,https://www.nrk.no/trondelag/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488475,https://www.nrk.no/vestfoldogtelemark/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488481,https://www.nrk.no/vestland/
Sverige,59.6749712,14.5208584,10099,Unknown,2023-04-14 00:34:21.488487,https://www.nrk.no/mat/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488491,https://www.nrk.no/mat/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488496,https://www.nrk.no/skole/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488501,https://www.nrk.no/informasjon/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488507,https://www.nrk.no/minside/
USA,39.7837304,-100.445882,331003,Unknown,2023-04-14 00:34:21.488512,https://www.nrk.no/nyheter
Russland,64.6863136,97.7453061,145934,Unknown,2023-04-14 00:34:21.488517,https://www.nrk.no/nyheter
Japan,36.5748441,139.2394179,126476,Unknown,2023-04-14 00:34:21.488522,https://www.nrk.no/nyheter
Ukraina,49.4871968,31.2718321,43734,Unknown,2023-04-14 00:34:21.488526,https://www.nrk.no/nyheter
Polen,52.215933,19.134422,37847,Unknown,2023-04-14 00:34:21.488531,https://www.nrk.no/nyheter
Nord-Korea,40.3736611,127.0870417,25779,Unknown,2023-04-14 00:34:21.488535,https://www.nrk.no/nyheter
Mali,16.3700359,-2.2900239,20251,Unknown,2023-04-14 00:34:21.488540,https://www.nrk.no/nyheter
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488545,https://www.nrk.no/nyheter
USA,39.7837304,-100.445882,331003,Unknown,2023-04-14 00:34:21.488550,https://www.nrk.no/nyheter
Russland,64.6863136,97.7453061,145934,Unknown,2023-04-14 00:34:21.488554,https://www.nrk.no/nyheter
Japan,36.5748441,139.2394179,126476,Unknown,2023-04-14 00:34:21.488559,https://www.nrk.no/nyheter
Ukraina,49.4871968,31.2718321,43734,Unknown,2023-04-14 00:34:21.488564,https://www.nrk.no/nyheter
Polen,52.215933,19.134422,37847,Unknown,2023-04-14 00:34:21.488569,https://www.nrk.no/nyheter
Nord-Korea,40.3736611,127.0870417,25779,Unknown,2023-04-14 00:34:21.488573,https://www.nrk.no/nyheter
Mali,16.3700359,-2.2900239,20251,Unknown,2023-04-14 00:34:21.488578,https://www.nrk.no/nyheter
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-14 00:34:21.488582,https://www.nrk.no/nyheter
USA,39.7837304,-100.445882,331003,21:55-04/13-2023,2023-04-14 00:34:21.488588,https://www.nrk.no/norge/ventar-motreaksjon-fra-russland_-_-fare-for-a-ga-tom-for-diplomatar-1.16372699
Russland,64.6863136,97.7453061,145934,21:55-04/13-2023,2023-04-14 00:34:21.488596,https://www.nrk.no/norge/ventar-motreaksjon-fra-russland_-_-fare-for-a-ga-tom-for-diplomatar-1.16372699
Myanmar,17.1750495,95.9999652,54410,21:55-04/13-2023,2023-04-14 00:34:21.488603,https://www.nrk.no/norge/ventar-motreaksjon-fra-russland_-_-fare-for-a-ga-tom-for-diplomatar-1.16372699
Nord-Korea,40.3736611,127.0870417,25779,21:55-04/13-2023,2023-04-14 00:34:21.488610,https://www.nrk.no/norge/ventar-motreaksjon-fra-russland_-_-fare-for-a-ga-tom-for-diplomatar-1.16372699
Norge,61.1529386,8.7876653,5421,21:55-04/13-2023,2023-04-14 00:34:21.488617,https://www.nrk.no/norge/ventar-motreaksjon-fra-russland_-_-fare-for-a-ga-tom-for-diplomatar-1.16372699
