name,type,latitude,longitude
Hemnes,Kommune,66.014362992692526,14.030825204237457
Salangen,Kommune,68.892885093373266,17.848853985770880
Vevelstad,Kommune,65.690098658864073,12.625156807857861
Kvæfjord,Kommune,68.696415517340029,16.027653749367882
Samnanger,Kommune,60.396835065762090,5.788711807653969
Sykkylven,Kommune,62.359115018118842,6.643856535510252
Årdal,Kommune,61.290128277993787,7.805808433046808
Moskenes,Kommune,67.908590826282776,12.894854835010475
Askøy,Kommune,60.483750152657628,5.093416369473072
Time,Kommune,58.718901442443453,5.762451221193110
Tysvær,Kommune,59.360282954870037,5.615015989028372
Kvitsøy,Kommune,59.016298159722517,5.282687558141494
Sauda,Kommune,59.700361518919330,6.446632538456472
Lødingen,Kommune,68.339188970550126,15.638845764588295
Bergen,Kommune,60.359802393828737,5.370998003415741
Hareid,Kommune,62.358930166223004,6.011286623457512
Skjervøy,Kommune,70.141662861634870,20.718549368303364
Vestvågøy,Kommune,68.192169079900651,13.673285966280851
Røst,Kommune,67.385110574750982,11.981877607940516
Herøy,Kommune,66.114019142251294,11.632966988557387
Leka,Kommune,65.225711852766167,11.135696610418776
Raarvihke,Kommune,64.901075843156931,13.636709114256611
Kárášjohka,Kommune,69.408686517533397,25.138484170585389
Loabák,Kommune,68.766742997866302,17.743733313778236
Snåase,Kommune,64.204686597370696,12.627697182669390
Aure,Kommune,63.259428388355836,8.414196334639549
Meråker,Kommune,63.403891131970902,11.831468283433971
Midtre Gauldal,Kommune,62.901969988248787,10.534226631875404
Åfjord,Kommune,64.090852118227730,10.190002903695881
Rindal,Kommune,63.031913368373338,9.292825942422052
Grane,Kommune,65.398724773148942,13.450071259237358
Hyllestad,Kommune,61.179521841481282,5.235597959737755
Høylandet,Kommune,64.744382495769159,12.356573779397870
Aarborte,Kommune,65.503983341629848,14.136870228425586
Gjesdal,Kommune,58.813485212441215,6.251592025305444
Bjerkreim,Kommune,58.662621829584531,6.200675957975258
Deatnu,Kommune,70.240445278186428,27.660960964863968
Askvoll,Kommune,61.367715010380387,4.681597447147388
Steinkjer,Kommune,64.045422070519678,11.510178832349325
