name,latitude,longitude,population,time_Date,gathered_Date,url
Svalbard,78.7198519,20.3493328,,Unknown,2023-04-19 01:55:36.892841,https://www.nrk.no/dokumentar/
Russland,64.6863136,97.7453061,145934,Unknown,2023-04-19 01:55:36.892846,https://www.nrk.no/ytring/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892851,https://www.nrk.no/ytring/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892856,https://www.nrk.no/sapmi/
Sverige,59.6749712,14.5208584,10099,Unknown,2023-04-19 01:55:36.892862,https://www.nrk.no/kvensk/
Finland,63.2467777,25.9209164,5541,Unknown,2023-04-19 01:55:36.892867,https://www.nrk.no/kvensk/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892871,https://www.nrk.no/kvensk/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892877,https://www.nrk.no/sport/sendeplan/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892883,https://www.nrk.no/sorlandet/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892888,https://www.nrk.no/innlandet/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892893,https://www.nrk.no/mr/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892898,https://www.nrk.no/nordland/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892903,https://www.nrk.no/osloogviken/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892909,https://www.nrk.no/rogaland/
Russland,64.6863136,97.7453061,145934,Unknown,2023-04-19 01:55:36.892914,https://www.nrk.no/tromsogfinnmark/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892919,https://www.nrk.no/tromsogfinnmark/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892925,https://www.nrk.no/trondelag/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892930,https://www.nrk.no/vestfoldogtelemark/
Brasil,-10.3333333,-53.2,212559,Unknown,2023-04-19 01:55:36.892935,https://www.nrk.no/vestland/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892940,https://www.nrk.no/vestland/
Armenia,40.7696272,44.6736646,2963,Unknown,2023-04-19 01:55:36.892946,https://www.nrk.no/vestland/
Sverige,59.6749712,14.5208584,10099,Unknown,2023-04-19 01:55:36.892952,https://www.nrk.no/mat/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892956,https://www.nrk.no/mat/
Taiwan,23.9739374,120.9820179,23817,Unknown,2023-04-19 01:55:36.892962,https://www.nrk.no/skole/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892967,https://www.nrk.no/skole/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892972,https://www.nrk.no/informasjon/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892977,https://www.nrk.no/minside/
USA,39.7837304,-100.445882,331003,Unknown,2023-04-19 01:55:36.892982,https://www.nrk.no/nyheter
Italia,42.6384261,12.674297,60462,Unknown,2023-04-19 01:55:36.893041,https://www.nrk.no/nyheter
Sudan,14.5844444,29.4917691,43849,Unknown,2023-04-19 01:55:36.893047,https://www.nrk.no/nyheter
Afghanistan,33.7680065,66.2385139,38928,Unknown,2023-04-19 01:55:36.893052,https://www.nrk.no/nyheter
Tunisia,33.8439408,9.400138,11819,Unknown,2023-04-19 01:55:36.893057,https://www.nrk.no/nyheter
Danmark,55.670249,10.3333283,5792,Unknown,2023-04-19 01:55:36.893061,https://www.nrk.no/nyheter
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.893066,https://www.nrk.no/nyheter
USA,39.7837304,-100.445882,331003,Unknown,2023-04-19 01:55:36.893071,https://www.nrk.no/nyheter
Italia,42.6384261,12.674297,60462,Unknown,2023-04-19 01:55:36.893076,https://www.nrk.no/nyheter
Sudan,14.5844444,29.4917691,43849,Unknown,2023-04-19 01:55:36.893081,https://www.nrk.no/nyheter
Afghanistan,33.7680065,66.2385139,38928,Unknown,2023-04-19 01:55:36.893085,https://www.nrk.no/nyheter
Tunisia,33.8439408,9.400138,11819,Unknown,2023-04-19 01:55:36.893090,https://www.nrk.no/nyheter
Danmark,55.670249,10.3333283,5792,Unknown,2023-04-19 01:55:36.893095,https://www.nrk.no/nyheter
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.893099,https://www.nrk.no/nyheter
Sudan,14.5844444,29.4917691,43849,Unknown,2023-04-19 01:55:36.893105,https://www.nrk.no/nyheter/brann-i-tomannsbolig-ved-naerbo-i-ha-1.16379130
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.893111,https://www.nrk.no/nyheter/brann-i-tomannsbolig-ved-naerbo-i-ha-1.16379130
Norge,61.1529386,8.7876653,5421,22:48-04/18-2023,2023-04-19 01:55:36.893117,https://www.nrk.no/innlandet/forvaringsdomt-i-innlandet-loslates-til-kommunen-der-ofre-bor-1.16362567
USA,39.7837304,-100.445882,331003,22:56-04/18-2023,2023-04-19 01:55:36.893125,https://www.nrk.no/urix/flere-skadd-etter-at-parkeringshus-kollapset-pa-manhattan-1.16379094
Sudan,14.5844444,29.4917691,43849,22:56-04/18-2023,2023-04-19 01:55:36.893132,https://www.nrk.no/urix/flere-skadd-etter-at-parkeringshus-kollapset-pa-manhattan-1.16379094
Jemen,16.3471243,47.8915271,29826,22:56-04/18-2023,2023-04-19 01:55:36.893139,https://www.nrk.no/urix/flere-skadd-etter-at-parkeringshus-kollapset-pa-manhattan-1.16379094
Tunisia,33.8439408,9.400138,11819,22:56-04/18-2023,2023-04-19 01:55:36.893146,https://www.nrk.no/urix/flere-skadd-etter-at-parkeringshus-kollapset-pa-manhattan-1.16379094
Norge,61.1529386,8.7876653,5421,22:56-04/18-2023,2023-04-19 01:55:36.893152,https://www.nrk.no/urix/flere-skadd-etter-at-parkeringshus-kollapset-pa-manhattan-1.16379094
Storbritannia,54.7023545,-3.2765753,67886,Unknown,2023-04-19 01:55:36.893160,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378993.1.16378993
Italia,42.6384261,12.674297,60462,Unknown,2023-04-19 01:55:36.893166,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378993.1.16378993
Argentina,-34.9964963,-64.9672817,45196,Unknown,2023-04-19 01:55:36.893172,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378993.1.16378993
Senegal,14.4750607,-14.4529612,16744,Unknown,2023-04-19 01:55:36.893178,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378993.1.16378993
Sverige,59.6749712,14.5208584,10099,Unknown,2023-04-19 01:55:36.893184,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378993.1.16378993
