url,datetime
https://www.nrk.no/sport/jarl-magnus-riiber-ut-mot-nytt-konsept-i-kombinert-1.16378557,2023-04-19 02:38:52.288372
https://www.nrk.no/ytring/elefanten-pa-fastlegekontoret-1.16377979,2023-04-19 02:38:52.288444
https://www.nrk.no/sorlandet/streiken_-bileiere-far-avlyst-reparasjoner-1.16376904,2023-04-19 02:38:53.116898
https://www.nrk.no/tromsogfinnmark/tiltak-for-a-styrke-fastlegeordningen-legges-frem-i-dag-1.16376809,2023-04-19 02:38:53.443034
https://www.nrk.no/trondelag/slik-lagde-nrk-guide-om-prevensjon-1.16362620,2023-04-19 02:38:53.501868
https://www.nrk.no/spesial/prevensjonsguide/,2023-04-19 02:38:54.535272
https://www.nrk.no/kultur/xl/slik-vart-nike-verdas-storste-skomerke-1.16180523,2023-04-19 02:38:54.833246
https://www.nrk.no/trondelag/xl/barnevernet-skal-ha-oppfordret-gravide-_beate_-til-a-sterilisere-seg-1.15835166,2023-04-19 02:38:54.838507
https://www.nrk.no/dokumentar/xl/nar-navlestrengen-aldri-kuttes-1.15629441,2023-04-19 02:38:55.086637
https://www.nrk.no/spesial/langlesing-1.14473235,2023-04-19 02:38:55.119347
https://www.nrk.no/spesial/langlesing-1.14473235,2023-04-19 02:38:55.487854
https://www.nrk.no/dokumentar/xl/livbaten-1.15516033,2023-04-19 02:38:55.742168
https://www.nrk.no/osloogviken/grensehandel_-svenske-butikker-forbereder-storinnrykk-av-nordmenn-1.16376901,2023-04-19 02:38:56.300605
https://www.nrk.no/osloogviken/kritiseres-for-midtrekkverk---stalet-var-ikke-godkjent-1.16378106,2023-04-19 02:38:56.517586
https://www.nrk.no/nyheter/ud-formidler-sterk-bekymring-til-sudans-myndigheter--1.16378592,2023-04-19 02:38:56.700599
https://www.nrk.no/vestfoldogtelemark/politikontakten-til-lanes_-_-han-fikk-ikke-noe-frikort-av-politiet-1.16376773,2023-04-19 02:38:57.054748
https://www.nrk.no/klima/eu-parlamentet-har-stemt-ja-til-omfattende-klimareform-1.16378290,2023-04-19 02:38:57.119106
https://www.nrk.no/urix/kan-bli-midlertidig-vapenhvile-i-sudan-1.16377943,2023-04-19 02:38:57.867579
https://www.nrk.no/vestland/storste-kokainbeslag-nokonsinne-pa-vestlandet-1.16377742,2023-04-19 02:38:58.298512
https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378443.1.16378443,2023-04-19 02:38:58.322100
https://www.nrk.no/anmeldelser/anmeldelse_-_new-vision_-den-2.-fototriennalen_-pa-henie-onstad-kunstsenter-1.16376413,2023-04-19 02:38:58.465013
https://www.nrk.no/urix/miljostiftinga-bellona-er-erklaert-uonskte-i-russland-1.16378163,2023-04-19 02:38:58.655846
https://www.nrk.no/sport/ordkrig-mellom-marcell-jacobs-og-fred-kerley-_-vil-gjore-opp-i-million-duell-1.16377128,2023-04-19 02:38:58.989792
https://www.nrk.no/osloogviken/legene-har-ingen-regler-om-arbeidstid-eller-hviletid-_-allmenlegeforeningen-bekymret-1.16349528,2023-04-19 02:38:58.997517
