name,latitude,longitude,type,published,gathered,url
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.995305,https://www.nrk.no/kultur/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.995309,https://www.nrk.no/kultur/
Årdal,61.290128277993787,7.805808433046808,Kommune,Unknown,2023-04-19 02:39:04.995314,https://www.nrk.no/kultur/
Nordreisa,69.326872385935459,22.007943451931126,Kommune,Unknown,2023-04-19 02:39:04.995319,https://www.nrk.no/kultur/
Vik,61.034195504778687,6.550141757059272,Kommune,Unknown,2023-04-19 02:39:04.995324,https://www.nrk.no/kultur/
Bærum,59.933255329486869,10.506831010365250,Kommune,Unknown,2023-04-19 02:39:04.995328,https://www.nrk.no/kultur/
Straume,60.358379700000000,5.123512900000000,town,Unknown,2023-04-19 02:39:04.995333,https://www.nrk.no/kultur/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995338,https://www.nrk.no/kultur/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.995343,https://www.nrk.no/video/humor/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995347,https://www.nrk.no/video/humor/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995352,https://www.nrk.no/video/humor/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.995356,https://www.nrk.no/video/humor/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.995362,https://www.nrk.no/video/humor/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.995366,https://www.nrk.no/video/humor/
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.995371,https://www.nrk.no/video/humor/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.995376,https://www.nrk.no/video/humor/
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.995381,https://www.nrk.no/video/humor/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.995385,https://www.nrk.no/video/humor/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.995390,https://www.nrk.no/video/humor/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.995395,https://www.nrk.no/distrikt/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995399,https://www.nrk.no/distrikt/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995458,https://www.nrk.no/distrikt/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.995463,https://www.nrk.no/distrikt/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.995468,https://www.nrk.no/distrikt/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.995473,https://www.nrk.no/distrikt/
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.995478,https://www.nrk.no/distrikt/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.995482,https://www.nrk.no/distrikt/
